Leading Cancer Sites,Leading Cancer Sites Code,States,States Code,Year,Year Code,Race,Race Code,Sex,Sex Code,Count,Population
Breast,26000,Alabama,1,1999,1999,Asian or Pacific Islander,A-PI,Female,F,18,17708
Breast,26000,Alabama,1,1999,1999,Black or African American,2054-5,Female,F,597,623475
Breast,26000,Alabama,1,1999,1999,White,2106-3,Female,F,2360,1640665
Breast,26000,Alabama,1,1999,1999,White,2106-3,Male,M,19,1570643
Breast,26000,Alabama,1,2000,2000,Black or African American,2054-5,Female,F,548,627439
Breast,26000,Alabama,1,2000,2000,White,2106-3,Female,F,2366,1643761
Breast,26000,Alabama,1,2000,2000,White,2106-3,Male,M,23,1576095
Breast,26000,Alabama,1,2001,2001,Asian or Pacific Islander,A-PI,Female,F,16,20121
Breast,26000,Alabama,1,2001,2001,Black or African American,2054-5,Female,F,617,630901
Breast,26000,Alabama,1,2001,2001,White,2106-3,Female,F,2460,1645541
Breast,26000,Alabama,1,2002,2002,Black or African American,2054-5,Female,F,603,633374
Breast,26000,Alabama,1,2002,2002,White,2106-3,Female,F,2432,1646445
Breast,26000,Alabama,1,2002,2002,White,2106-3,Male,M,27,1583267
Breast,26000,Alabama,1,2003,2003,Asian or Pacific Islander,A-PI,Female,F,17,22440
Breast,26000,Alabama,1,2003,2003,Black or African American,2054-5,Female,F,643,636876
Breast,26000,Alabama,1,2003,2003,White,2106-3,Female,F,2219,1650890
Breast,26000,Alabama,1,2003,2003,White,2106-3,Male,M,20,1590946
Breast,26000,Alabama,1,2004,2004,Black or African American,2054-5,Female,F,630,641873
Breast,26000,Alabama,1,2004,2004,White,2106-3,Female,F,2277,1657539
Breast,26000,Alabama,1,2005,2005,Black or African American,2054-5,Female,F,710,647132
Breast,26000,Alabama,1,2005,2005,White,2106-3,Female,F,2331,1666877
Breast,26000,Alabama,1,2006,2006,Asian or Pacific Islander,A-PI,Female,F,20,27389
Breast,26000,Alabama,1,2006,2006,Black or African American,2054-5,Female,F,704,657654
Breast,26000,Alabama,1,2006,2006,White,2106-3,Female,F,2502,1685050
Breast,26000,Alabama,1,2006,2006,White,2106-3,Male,M,19,1629110
Breast,26000,Alabama,1,2007,2007,Black or African American,2054-5,Female,F,744,664831
Breast,26000,Alabama,1,2007,2007,White,2106-3,Female,F,2479,1697518
